qn1d,qn1f,qn1c,qn1h,qn2b,qn4b,qn4c,qn4e,qn1jyear,ui_lpr,ui_work
24,2,4,6,5,1,2,1,2017,1,1
35,1,4,24,5,2,2,1,2014,1,1
30,2,4,9,5,2,2,1,2015,2,2
67,1,1,9,6,3,2,1,2016,2,3
55,2,1,9,2,3,1,1,2015,2,3
43,1,1,9,5,2,2,1,2015,2,1
34,2,1,9,5,2,2,1,2015,2,2
23,2,1,97,5,3,2,1,2016,1,1
53,1,1,97,5,4,1,1,2018,3,1
57,2,1,97,5,4,1,1,2018,3,3
45,1,1,10,2,3,1,1,2016,1,3
37,2,1,10,2,2,1,1,2016,1,1
17,2,4,10,2,1,1,1,2016,1,1
28,2,4,5,5,2,2,1,2015,2,1
27,1,4,6,1,3,2,2,2018,1,2
23,1,1,3,1,4,2,1,2017,1,1
67,2,5,10,2,3,1,1,2016,1,3
37,1,4,24,5,1,2,1,2017,2,1
39,2,4,97,5,3,1,2,2016,1,1
42,2,1,26,5,4,1,1,2017,1,2
20,2,4,26,5,3,1,1,2017,1,1
37,2,4,97,1,3,1,1,2014,2,2
18,1,4,97,1,2,2,2,2014,2,1
75,2,1,96,1,4,1,1,2015,1,3
33,2,1,96,6,1,1,1,2015,1,1
75,1,1,96,1,4,1,1,2015,1,3
45,1,1,96,6,1,2,1,2015,1,1
24,1,4,1,2,2,2,2,2015,1,2
48,2,5,1,1,4,1,2,2015,1,3
24,1,4,9,2,1,2,2,2015,2,2
19,1,4,9,2,1,1,2,2015,2,2
51,2,1,9,6,2,1,2,2015,2,1
30,1,1,24,1,2,1,1,2014,1,1
23,1,4,26,5,3,1,1,2018,1,1
22,2,4,26,1,4,1,1,2018,1,1
17,2,4,3,2,1,2,6,2016,1,3
33,2,1,3,1,4,1,1,2016,1,3
30,1,1,3,1,4,1,1,2016,1,2
25,1,4,26,2,3,1,1,2016,1,1
74,1,1,5,5,4,1,1,2014,1,3
72,2,1,5,6,2,1,1,2014,1,3
33,1,1,10,2,2,1,1,2015,1,1
24,2,1,10,2,2,1,2,2015,1,1
35,1,1,18,2,3,1,1,2016,1,2
26,2,1,18,2,3,1,1,2016,1,3
36,1,1,24,2,1,2,1,2014,3,1
38,2,1,26,1,4,1,1,2014,2,2
20,2,4,26,1,2,1,2,2017,1,3
18,2,4,26,1,2,1,1,2017,3,3
37,1,1,96,1,2,2,1,2014,1,1
32,2,1,96,1,2,2,1,2014,1,1
48,1,4,97,1,3,1,2,2018,1,2
30,2,3,6,5,2,2,1,2016,2,1
26,2,1,1,5,1,2,1,2018,1,1
27,1,1,1,5,1,2,2,2018,1,1
20,1,4,26,2,1,2,2,2017,1,1
24,1,4,26,5,2,2,2,2017,1,1
30,1,4,10,2,3,1,2,2014,1,2
19,1,7,97,1,1,1,2,2014,2,1
